CODCOMP_STR,POBLACION
0109044007,58.0
0109044008,67.0
0109044009,20.0
0109044010,42.0
0109044011,45.0
0109044012,0.0
0109044013,7.0
0109044600,1.0
0109044800,7.0
0109045002,39.0
0109045003,28.0
0109045004,39.0
0109045005,7.0
0109045006,67.0
0109045007,2.0
0109045011,13.0
0109046005,42.0
0109046009,1.0
0109046010,0.0
0109046011,0.0
0109046012,0.0
0109046028,0.0
0109046400,0.0
0109046401,0.0
0109046403,0.0
0109046404,0.0
0109046405,0.0
0109046406,0.0
0109046407,0.0
0109046408,0.0
0109046409,0.0
0109046410,0.0
0109046411,0.0
0109046412,0.0
0109046413,0.0
0109046600,102.0
0109046601,24.0
0109046602,9.0
0109046605,0.0
0109046606,0.0
0109046607,0.0
0109046608,0.0
0109046609,0.0
0109046610,1.0
0109046700,4.0
0109047002,165.0
0109047003,151.0
0109047004,109.0
0109047006,181.0
0109047018,106.0
0109047019,199.0
0109047020,114.0
0109047022,95.0
0109047024,69.0
0109047025,90.0
0109047026,95.0
0109047027,135.0
0109047028,115.0
0109047029,153.0
0109047030,130.0
0109047031,107.0
0109047032,125.0
0109047033,34.0
0109047035,66.0
0109047036,94.0
0109047037,110.0
0109047040,107.0
0109047041,133.0
0109047042,111.0
0109047043,141.0
0109047044,137.0
0109047048,65.0
0109047050,126.0
0109047400,0.0
0109047401,0.0
0109047402,0.0
0109047403,0.0
0109047405,0.0
0109047406,0.0
0109047600,68.0
0109047601,139.0
0109047700,68.0
0109047701,42.0
0109047702,17.0
0109047703,11.0
0109047704,83.0
0109047705,80.0
0109047706,69.0
0109047707,171.0
0109047800,0.0
0109047804,0.0
0109047807,18.0
0109047808,18.0
0109047809,23.0
0109047810,23.0
0109047811,23.0
0109047812,2.0
0109047813,10.0
0109047814,54.0
0109047815,52.0
0109047818,32.0
0109047819,20.0
0109047820,24.0
0109047823,24.0
0109047824,24.0
0109047825,7.0
0109047826,32.0
0109047827,33.0
0109047828,31.0
0109047829,26.0
