NOMBRE,DIRECCION,x,y,POBLACION
FARMASHOP 52,20 de Setiembre 1525,576463.613566305,6137614.57680854,56255.0
FARMASHOP 53,"Av. Italia 4280, Plaza Italia Shopping",580594.889985188,6139059.96964978,37890.0
FARMASHOP 54,Av. Giannattasio Km. 22800,594193.425544871,6145453.11703627,10544.0
FARMASHOP 55,Av. 18 de Julio 1951,575491.688557828,6137638.57094652,63989.0
FARMASHOP 56,Fco. Joaquin Muñoz 2951,577652.339659529,6136964.22660772,66999.0
FARMASHOP 57,Av. Gral Rivera 3500,578692.175548314,6137552.46384451,42028.0
FARMASHOP 58,Av. Italia 3813,579500.888300381,6139195.12752219,36571.0
FARMASHOP 59,Av. Italia 3949,579831.706207068,6139201.96235542,32522.0
FARMASHOP 6,Av. Italia 6958,586137.5437324,6140103.04210384,11938.0
FARMASHOP 60,Av. Brasil 2500,576736.241014982,6136927.89639665,64059.0
FARMASHOP 61,Av. Agraciada 4104,571523.95992296,6142403.2120388,25346.0
FARMASHOP 62,Bvar. Artigas 1481,576332.958765172,6137573.62169831,56944.0
FARMASHOP 63,Gral. Jose G. Artigas 561,526245.792834724,6200176.50930545,17917.0
FARMASHOP 64,SARANDI 502,572649.817798565,6136919.31181715,22551.0
FARMASHOP 65,Av. Cebeiro 581,690104.756991873,6147643.23544604,15149.0
FARMASHOP 67,18 de Julio 1011,690448.385258857,6147847.91154221,17949.0
FARMASHOP 68,Av. Italia 2863,577429.671172551,6138786.69132463,34406.0
FARMASHOP 69,Av. Luis Batlle Berres 6149,567408.998206337,6144532.06189477,9816.0
FARMASHOP 7,Av. Roosevelt y P. 10,687497.826609249,6133042.53332226,3517.0
FARMASHOP 70,Uruguayana 3501,572257.985244578,6141103.85082574,19502.0
FARMASHOP 71,Ruta 10 Av. Eduardo V Haedo entre Las Brisas y Los Romances. Loc 209,694328.324091199,6135027.13697536,2132.0
FARMASHOP 72,Cno. Ariel 4931,571550.359647794,6145216.73110195,17335.0
FARMASHOP 73,Av. Gral Jose Maria Pez 1447,584044.242258062,6138405.15050694,12552.0
FARMASHOP 74,Av. Giannattasio Km. 21800,593183.551688758,6144806.79666565,10056.0
FARMASHOP 75,Av. Juan Gorlero 993,688104.588600267,6129575.85115591,2072.0
FARMASHOP 76,Av. Juan Gorlero 780,687780.637782694,6129237.96051553,1875.0
FARMASHOP 77,Av. A. Arocena 1980 bis,585819.371534368,6139711.55902387,12010.0
FARMASHOP 78,Av. Dr. Juan B. Alberdi 6502,585304.751024123,6139833.98120684,11521.0
FARMASHOP 79,Aparicio Saravia 649,766382.306557454,6414965.47877618,18966.0
FARMASHOP 8,Manuel Vicente Pagola 3205,577997.26024527,6136832.36915915,60115.0
FARMASHOP 80,Oribe 898,766659.382647228,6414261.84834406,18858.0
FARMASHOP 81,Florencio Sanchez 898,766799.969434697,6415104.8920691,19375.0
FARMASHOP 82,18 de Julio 1405,398652.092487655,6423832.4011378,16792.0
FARMASHOP 83,18 de Julio 1119,397976.011453395,6423910.9375415,18104.0
FARMASHOP 84,Av. Cnel. Carlos Lecueder 250,551449.853765081,6636813.22579356,18754.0
FARMASHOP 85,Gral: Flores 450,422386.11113773,6185335.7187829,5815.0
FARMASHOP 86,18 de Julio 1680,440754.008483914,6381437.67622503,9932.0
FARMASHOP 87,18 de Julio 1953,441384.498634556,6381909.28295918,9520.0
FARMASHOP 88,Av. Camacho esq. Av. Roosevelt,686207.982007365,6133950.15333728,6559.0
FARMASHOP 89,Av. Carlos Maria Ramirez 802,569909.98490768,6141654.55789942,27047.0
FARMASHOP 9,Av. Joaquin Suarez 3458,573558.385435445,6141700.40295437,24742.0
FARMASHOP 90,"Av. Luis Alberto de HErrera 3365, Nuevo Centro Shopping",575925.225368927,6141139.78743975,31707.0
FARMASHOP 91,Jose Enrique Rodo 550,403734.188747354,6320389.65223301,20385.0
FARMASHOP 92,Gral. Jose Artigas 289,404111.522349958,6320622.51483262,16923.0
FARMASHOP 93,Av. Dr. Enrique Pouey 607,571084.768109699,6156906.93066127,20160.0
FARMASHOP 94,Calle 11 Esq. Ciudad de Montevideo,613332.962482656,6151338.04972509,3246.0
FARMASHOP 95,Brig. Gral. Manuel Oribe 751,544356.53336132,6306437.41077164,15363.0
FARMASHOP 96,Uruguay 697,408074.521334349,6527081.0248125,16419.0
FARMASHOP 97,Sarandi 509,639593.637125445,6580636.85814429,15465.0
FARMASHOP 98,Jose Batlle y Ordoñez 181,570959.763871699,6152974.39038269,15001.0
FARMASHOP 99,Juan D. Jackson 1200,575545.636796157,6136900.11062778,60899.0
FARMASUR,Piovene 1031,595208.975976929,6157671.36773375,15572.0
FARMAUY,Maldonado esq.Yaro,575278.006287263,6136802.57979899,59143.0
FELIX,Cnel. Lorenzo Latorre 1288,422579.395372683,6187646.27246429,6990.0
FEMME,19 de Abril 282,381422.564083602,6237151.88813361,10964.0
FERNANDEZ GENOLET ,F.D.Roosevelt 706 e/ Colón,404036.164662792,6320557.5759581,18448.0
FERRER,Acosta 1229,789408.74519183,6211317.18508818,7202.0
FERROCARRIL,Cerrito 1305 e/ P.Larrañaga,398714.612395388,6424557.17952499,18433.0
FLEMING I,Virrey Arredondo 980,839698.246764181,6388266.4945344,6095.0
FLORENCIO SANCHEZ,Colonia y 25 de Agosto,465535.035242878,6251651.50975016,6106.0
FONT,"Avenida Williman y Parada 1, Edificio Vanguardia",688097.957090584,6130007.90261097,2274.0
FUTURA,Gral. Sanabria 936,657623.054181447,6140309.3815945,4335.0
GALET,Ruta 6 Km 23.100,582952.746718654,6155823.09025142,7587.0
GARAT,19 de Abril 1350,789478.217040062,6211366.50022025,7352.0
GARCEN,18 de Julio y Oribe ,440197.381381528,6381040.86257599,8336.0
GOMEZ,Av. Eduardo Fabini 775,640605.884020579,6170228.17637516,2672.0
GORTARI,Domingo Pérez 501 e/ T.y Tres,661992.484618251,6194658.72777313,16306.0
GUADALUPE,J. B. y Ordoñez 339 e/ C. Mayo G.,570701.292563374,6152972.68402955,15464.0
HEINZEN,18 de Julio 878,397649.896111539,6423953.37035931,18047.0
HELVETICA,Luis A. de Herrera 1101 e/ Artigas,478493.130353242,6205764.21359341,7025.0
HIARDIE,Pablo Rios 149,597357.446900108,6489503.25626086,12668.0
HUMANITARIA,25 de Agosto 1192 loc.3,758895.904525599,6270423.70483692,6008.0
IDAMAR,Varela s/n e/ Carlos Ma. Fosalba,663035.469784968,6195575.66600687,12047.0
ILEANA II,19 de Abril 1302 e/ P. Larrañaga,398117.398293506,6424634.92916422,16375.0
INGLESA II,Leandro Gómez 1013,397759.407917204,6423829.02020552,18537.0
IPORA,Cont. 25 de Agosto y Artigas,686003.163952607,6135109.65990694,15396.0
IRISARRI,Av. Artigas s/n,705243.958178697,6231015.85169423,1717.0
JAQUE MATE,Rúben Artigas s/n,692019.600817493,6355318.54825915,1523.0
JAUREGUIBERRY,Calle 10 (Av. Artigas) esq. Calle 3 (Apereá),646510.826414388,6149585.74735359,289.0
JAZMIN,Luis A. de Herrera s/n,745689.857125942,6180278.49750609,7311.0
JUAN ANGEL,Roosevelt 59,556234.659664183,6187257.10039998,13076.0
KIYU,Luz Marina s/n,523820.211594314,6160398.74663737,392.0
LA 16,Catalogne 323,596333.153779146,6490102.59795978,16904.0
LA CABINA,Av. Los Laureles s/n,652579.978579729,6146413.95564499,327.0
LA FAMILIA,Podestá 715,728988.140472683,6295426.9044762,4591.0
