CODCOMP,DPTO,NOMDPTO,NOMLOC,P_TOT,CODLOC
"0105201013","01",MONTEVIDEO,MONTEVIDEO,"262","01020"
"0105202005","01",MONTEVIDEO,MONTEVIDEO,"127","01020"
"0105202009","01",MONTEVIDEO,MONTEVIDEO,"397","01020"
"0105202010","01",MONTEVIDEO,MONTEVIDEO,"375","01020"
"0105202011","01",MONTEVIDEO,MONTEVIDEO,"214","01020"
"0105202400","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0105202600","01",MONTEVIDEO,MONTEVIDEO,"159","01020"
"0105202601","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0105202602","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0105203003","01",MONTEVIDEO,MONTEVIDEO,"102","01020"
"0105203004","01",MONTEVIDEO,MONTEVIDEO,"241","01020"
"0105203005","01",MONTEVIDEO,MONTEVIDEO,"231","01020"
"0105203006","01",MONTEVIDEO,MONTEVIDEO,"225","01020"
"0105203011","01",MONTEVIDEO,MONTEVIDEO,"163","01020"
"0105203012","01",MONTEVIDEO,MONTEVIDEO,"235","01020"
"0105204003","01",MONTEVIDEO,MONTEVIDEO,"89","01020"
"0105204004","01",MONTEVIDEO,MONTEVIDEO,"121","01020"
"0105204005","01",MONTEVIDEO,MONTEVIDEO,"284","01020"
"0105204006","01",MONTEVIDEO,MONTEVIDEO,"238","01020"
"0105204011","01",MONTEVIDEO,MONTEVIDEO,"86","01020"
"0105204012","01",MONTEVIDEO,MONTEVIDEO,"226","01020"
"0105205002","01",MONTEVIDEO,MONTEVIDEO,"435","01020"
"0105205003","01",MONTEVIDEO,MONTEVIDEO,"149","01020"
"0105205004","01",MONTEVIDEO,MONTEVIDEO,"147","01020"
"0105205005","01",MONTEVIDEO,MONTEVIDEO,"57","01020"
"0105205006","01",MONTEVIDEO,MONTEVIDEO,"120","01020"
"0105205007","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0105205400","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0105205500","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0105205600","01",MONTEVIDEO,MONTEVIDEO,"266","01020"
"0105205601","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0105205602","01",MONTEVIDEO,MONTEVIDEO,"43","01020"
"0105205603","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0105206007","01",MONTEVIDEO,MONTEVIDEO,"320","01020"
"0105206008","01",MONTEVIDEO,MONTEVIDEO,"141","01020"
"0105206009","01",MONTEVIDEO,MONTEVIDEO,"6","01020"
"0105206010","01",MONTEVIDEO,MONTEVIDEO,"259","01020"
"0105206011","01",MONTEVIDEO,MONTEVIDEO,"206","01020"
"0105206013","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0105206400","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0105206500","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0106101006","01",MONTEVIDEO,MONTEVIDEO,"124","01020"
"0106101007","01",MONTEVIDEO,MONTEVIDEO,"273","01020"
"0106101010","01",MONTEVIDEO,MONTEVIDEO,"33","01020"
"0106101011","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0106101400","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0106101402","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0106101403","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0106101404","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0106101405","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0106101406","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0106101500","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0106101600","01",MONTEVIDEO,MONTEVIDEO,"137","01020"
"0106101602","01",MONTEVIDEO,MONTEVIDEO,"394","01020"
"0106101700","01",MONTEVIDEO,MONTEVIDEO,"202","01020"
"0106102001","01",MONTEVIDEO,MONTEVIDEO,"121","01020"
"0106102004","01",MONTEVIDEO,MONTEVIDEO,"101","01020"
"0106102005","01",MONTEVIDEO,MONTEVIDEO,"177","01020"
"0106102007","01",MONTEVIDEO,MONTEVIDEO,"199","01020"
"0106102008","01",MONTEVIDEO,MONTEVIDEO,"160","01020"
"0106102011","01",MONTEVIDEO,MONTEVIDEO,"25","01020"
"0106102012","01",MONTEVIDEO,MONTEVIDEO,"169","01020"
"0106102400","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0106102600","01",MONTEVIDEO,MONTEVIDEO,"126","01020"
"0106103001","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0106103002","01",MONTEVIDEO,MONTEVIDEO,"203","01020"
"0106103003","01",MONTEVIDEO,MONTEVIDEO,"21","01020"
"0106103006","01",MONTEVIDEO,MONTEVIDEO,"110","01020"
"0106103007","01",MONTEVIDEO,MONTEVIDEO,"122","01020"
"0106103010","01",MONTEVIDEO,MONTEVIDEO,"166","01020"
"0106103011","01",MONTEVIDEO,MONTEVIDEO,"132","01020"
"0106104001","01",MONTEVIDEO,MONTEVIDEO,"331","01020"
"0106104005","01",MONTEVIDEO,MONTEVIDEO,"46","01020"
"0106104009","01",MONTEVIDEO,MONTEVIDEO,"157","01020"
"0106104010","01",MONTEVIDEO,MONTEVIDEO,"339","01020"
"0106201004","01",MONTEVIDEO,MONTEVIDEO,"126","01020"
"0106201005","01",MONTEVIDEO,MONTEVIDEO,"72","01020"
"0106201009","01",MONTEVIDEO,MONTEVIDEO,"152","01020"
"0106201012","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0106201013","01",MONTEVIDEO,MONTEVIDEO,"145","01020"
"0106201014","01",MONTEVIDEO,MONTEVIDEO,"137","01020"
"0106201017","01",MONTEVIDEO,MONTEVIDEO,"113","01020"
"0106201018","01",MONTEVIDEO,MONTEVIDEO,"175","01020"
"0106201400","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0106201401","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0106201600","01",MONTEVIDEO,MONTEVIDEO,"127","01020"
"0106201601","01",MONTEVIDEO,MONTEVIDEO,"554","01020"
"0106202003","01",MONTEVIDEO,MONTEVIDEO,"26","01020"
"0106202006","01",MONTEVIDEO,MONTEVIDEO,"395","01020"
"0106202009","01",MONTEVIDEO,MONTEVIDEO,"219","01020"
"0106202010","01",MONTEVIDEO,MONTEVIDEO,"233","01020"
"0106202013","01",MONTEVIDEO,MONTEVIDEO,"192","01020"
